symbol,gemini_content
cvx,"{""valueGeneration"": {""description"": ""N/A"", ""title"": ""Value Generation"", ""heading"": ""How {symbol} Generates Value"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""marketPosition"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""projectSize"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""RealWorldImpact"": {""description"": ""N/A"", ""title"": ""Real World Impact"", ""heading"": ""Where Does {symbol} Have Influence"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""founders"": {""description"": ""N/A"", ""title"": ""Founders"", ""heading"": ""Who Created {symbol}"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""problemSolving"": {""description"": ""N/A"", ""title"": ""Problem Solving"", ""heading"": ""What challenges does {symbol} solve?"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""strengths"": [], ""weaknesses"": [], ""whitepaper"": {""summary"": ""N/A"", ""title"": ""Whitepaper Summary"", ""readTime"": 5, ""dificultyTag"": ""Intermediate""}}"
algo,"{""valueGeneration"": {""description"": ""N/A"", ""title"": ""Value Generation"", ""heading"": ""How {symbol} Generates Value"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""marketPosition"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""projectSize"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""RealWorldImpact"": {""description"": ""N/A"", ""title"": ""Real World Impact"", ""heading"": ""Where Does {symbol} Have Influence"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""founders"": {""description"": ""N/A"", ""title"": ""Founders"", ""heading"": ""Who Created {symbol}"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""problemSolving"": {""description"": ""N/A"", ""title"": ""Problem Solving"", ""heading"": ""What challenges does {symbol} solve?"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""strengths"": [], ""weaknesses"": [], ""whitepaper"": {""summary"": ""N/A"", ""title"": ""Whitepaper Summary"", ""readTime"": 5, ""dificultyTag"": ""Intermediate""}}"
apt,"{""valueGeneration"": {""description"": ""N/A"", ""title"": ""Value Generation"", ""heading"": ""How {symbol} Generates Value"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""marketPosition"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""projectSize"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""RealWorldImpact"": {""description"": ""N/A"", ""title"": ""Real World Impact"", ""heading"": ""Where Does {symbol} Have Influence"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""founders"": {""description"": ""N/A"", ""title"": ""Founders"", ""heading"": ""Who Created {symbol}"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""problemSolving"": {""description"": ""N/A"", ""title"": ""Problem Solving"", ""heading"": ""What challenges does {symbol} solve?"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""strengths"": [], ""weaknesses"": [], ""whitepaper"": {""summary"": ""N/A"", ""title"": ""Whitepaper Summary"", ""readTime"": 5, ""dificultyTag"": ""Intermediate""}}"
avax,"{""valueGeneration"": {""description"": ""N/A"", ""title"": ""Value Generation"", ""heading"": ""How {symbol} Generates Value"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""marketPosition"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""projectSize"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""RealWorldImpact"": {""description"": ""N/A"", ""title"": ""Real World Impact"", ""heading"": ""Where Does {symbol} Have Influence"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""founders"": {""description"": ""N/A"", ""title"": ""Founders"", ""heading"": ""Who Created {symbol}"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""problemSolving"": {""description"": ""N/A"", ""title"": ""Problem Solving"", ""heading"": ""What challenges does {symbol} solve?"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""strengths"": [], ""weaknesses"": [], ""whitepaper"": {""summary"": ""N/A"", ""title"": ""Whitepaper Summary"", ""readTime"": 5, ""dificultyTag"": ""Intermediate""}}"
bnb,"{""valueGeneration"": {""description"": ""N/A"", ""title"": ""Value Generation"", ""heading"": ""How {symbol} Generates Value"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""marketPosition"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""projectSize"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""RealWorldImpact"": {""description"": ""N/A"", ""title"": ""Real World Impact"", ""heading"": ""Where Does {symbol} Have Influence"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""founders"": {""description"": ""N/A"", ""title"": ""Founders"", ""heading"": ""Who Created {symbol}"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""problemSolving"": {""description"": ""N/A"", ""title"": ""Problem Solving"", ""heading"": ""What challenges does {symbol} solve?"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""strengths"": [], ""weaknesses"": [], ""whitepaper"": {""summary"": ""N/A"", ""title"": ""Whitepaper Summary"", ""readTime"": 5, ""dificultyTag"": ""Intermediate""}}"
celo,"{""valueGeneration"": {""description"": ""N/A"", ""title"": ""Value Generation"", ""heading"": ""How {symbol} Generates Value"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""marketPosition"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""projectSize"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""RealWorldImpact"": {""description"": ""N/A"", ""title"": ""Real World Impact"", ""heading"": ""Where Does {symbol} Have Influence"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""founders"": {""description"": ""N/A"", ""title"": ""Founders"", ""heading"": ""Who Created {symbol}"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""problemSolving"": {""description"": ""N/A"", ""title"": ""Problem Solving"", ""heading"": ""What challenges does {symbol} solve?"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""strengths"": [], ""weaknesses"": [], ""whitepaper"": {""summary"": ""N/A"", ""title"": ""Whitepaper Summary"", ""readTime"": 5, ""dificultyTag"": ""Intermediate""}}"
atom,"{""valueGeneration"": {""description"": ""N/A"", ""title"": ""Value Generation"", ""heading"": ""How {symbol} Generates Value"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""marketPosition"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""projectSize"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""RealWorldImpact"": {""description"": ""N/A"", ""title"": ""Real World Impact"", ""heading"": ""Where Does {symbol} Have Influence"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""founders"": {""description"": ""N/A"", ""title"": ""Founders"", ""heading"": ""Who Created {symbol}"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""problemSolving"": {""description"": ""N/A"", ""title"": ""Problem Solving"", ""heading"": ""What challenges does {symbol} solve?"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""strengths"": [], ""weaknesses"": [], ""whitepaper"": {""summary"": ""N/A"", ""title"": ""Whitepaper Summary"", ""readTime"": 5, ""dificultyTag"": ""Intermediate""}}"
eth,"{""valueGeneration"": {""description"": ""N/A"", ""title"": ""Value Generation"", ""heading"": ""How {symbol} Generates Value"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""marketPosition"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""projectSize"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""RealWorldImpact"": {""description"": ""N/A"", ""title"": ""Real World Impact"", ""heading"": ""Where Does {symbol} Have Influence"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""founders"": {""description"": ""N/A"", ""title"": ""Founders"", ""heading"": ""Who Created {symbol}"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""problemSolving"": {""description"": ""N/A"", ""title"": ""Problem Solving"", ""heading"": ""What challenges does {symbol} solve?"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""strengths"": [], ""weaknesses"": [], ""whitepaper"": {""summary"": ""N/A"", ""title"": ""Whitepaper Summary"", ""readTime"": 5, ""dificultyTag"": ""Intermediate""}}"
fil,"{""valueGeneration"": {""description"": ""N/A"", ""title"": ""Value Generation"", ""heading"": ""How {symbol} Generates Value"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""marketPosition"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""projectSize"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""RealWorldImpact"": {""description"": ""N/A"", ""title"": ""Real World Impact"", ""heading"": ""Where Does {symbol} Have Influence"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""founders"": {""description"": ""N/A"", ""title"": ""Founders"", ""heading"": ""Who Created {symbol}"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""problemSolving"": {""description"": ""N/A"", ""title"": ""Problem Solving"", ""heading"": ""What challenges does {symbol} solve?"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""strengths"": [], ""weaknesses"": [], ""whitepaper"": {""summary"": ""N/A"", ""title"": ""Whitepaper Summary"", ""readTime"": 5, ""dificultyTag"": ""Intermediate""}}"
inj,"{""valueGeneration"": {""description"": ""N/A"", ""title"": ""Value Generation"", ""heading"": ""How {symbol} Generates Value"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""marketPosition"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""projectSize"": {""description"": ""N/A"", ""title"": ""Market Position"", ""heading"": ""What is {symbol} Best Known For"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""RealWorldImpact"": {""description"": ""N/A"", ""title"": ""Real World Impact"", ""heading"": ""Where Does {symbol} Have Influence"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""founders"": {""description"": ""N/A"", ""title"": ""Founders"", ""heading"": ""Who Created {symbol}"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""problemSolving"": {""description"": ""N/A"", ""title"": ""Problem Solving"", ""heading"": ""What challenges does {symbol} solve?"", ""readTime"": 3, ""dificultyTag"": ""Beginner friendly""}, ""strengths"": [], ""weaknesses"": [], ""whitepaper"": {""summary"": ""N/A"", ""title"": ""Whitepaper Summary"", ""readTime"": 5, ""dificultyTag"": ""Intermediate""}}"
