Project,Market Sector,EQS,UGS,FVS,SS,how3 Score,Growth Category,Valuation Category,SS (Rating),User Growth JSON,Earnings Quality JSON,Static ,Live,Symbol
Convex Finance,Asset management,52.47063715,94.95356794,62.76785714,85.76,73.98801556,Exceptional Growth,Fairly Valued,A,"{""name"": ""Convex Finance"", ""sector"": ""Asset management"", ""scores"": {""user_growth"": 94.95356793743892, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Ondo Finance"", ""scores"": {""user_growth"": 100.0}}, {""name"": ""Yearn Finance"", ""scores"": {""user_growth"": 96.2854349951124}}, {""name"": ""yearn.finance"", ""scores"": {""user_growth"": 96.2854349951124}}, {""name"": ""BadgerDAO"", ""scores"": {""user_growth"": 90.1466275659824}}], ""sector_averages"": {""user_growth"": 54.79, ""count"": 38}}","{""name"": ""Convex Finance"", ""sector"": ""Asset management"", ""scores"": {""earnings_quality"": 52.4706371470804}, ""peers"": [{""name"": ""Aura Finance"", ""scores"": {""earnings_quality"": 46.983308486486656}}, {""name"": ""Index Cooperative"", ""scores"": {""earnings_quality"": 41.69345088455628}}, {""name"": ""Ribbon Finance"", ""scores"": {""earnings_quality"": 40.50989099012236}}, {""name"": ""Tokemak"", ""scores"": {""earnings_quality"": 37.32349428436831}}], ""sector_averages"": {""earnings_quality"": 4.43, ""count"": 57}}",FALSE,FALSE,cvx
Algorand,Blockchains (L1),38.51705429,57.27272727,52.52403846,87.49,58.950955,Steady Growth,Fairly Valued,AA,"{""name"": ""Algorand"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 57.27272727272727, ""growth_category"": ""Steady Growth""}, ""peers"": [{""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}, {""name"": ""Bitcoin"", ""scores"": {""user_growth"": 73.61458333333334}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}","{""name"": ""Algorand"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 38.517054285532666}, ""peers"": [{""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}, {""name"": ""Celo"", ""scores"": {""earnings_quality"": 35.305556571473666}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}",FALSE,FALSE,algo
Aptos,Blockchains (L1),43.49478334,74.57650162,55.43990385,94.28,66.9477972,Strong Growth,Fairly Valued,AAA,"{""name"": ""Aptos"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 74.57650162337663, ""growth_category"": ""Strong Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}, {""name"": ""Bitcoin"", ""scores"": {""user_growth"": 73.61458333333334}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}","{""name"": ""Aptos"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 43.49478334281707}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}, {""name"": ""Celo"", ""scores"": {""earnings_quality"": 35.305556571473666}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}",FALSE,FALSE,apt
Avalanche,Blockchains (L1),39.96282984,63.59943978,61.80288462,94.12,64.87128856,Steady Growth,Fairly Valued,AAA,"{""name"": ""Avalanche"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 63.59943977591037, ""growth_category"": ""Steady Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}, {""name"": ""Bitcoin"", ""scores"": {""user_growth"": 73.61458333333334}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}","{""name"": ""Avalanche"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 39.96282983690581}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}, {""name"": ""Celo"", ""scores"": {""earnings_quality"": 35.305556571473666}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}",FALSE,FALSE,avax
BNB Chain,Blockchains (L1),48.50092318,94.40882035,67.66666667,94.69,76.31660255,Exceptional Growth,Fairly Valued,AAA,"{""name"": ""BNB Chain"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 94.40882034632034, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""Bitcoin"", ""scores"": {""user_growth"": 73.61458333333334}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}","{""name"": ""BNB Chain"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 48.5009231754041}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""Celo"", ""scores"": {""earnings_quality"": 35.305556571473666}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}",FALSE,FALSE,bnb
Celo,Blockchains (L1),35.30555657,56.73683261,72.05833333,78.76,60.71518063,Steady Growth,Undervalued,BBB,"{""name"": ""Celo"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 56.73683261183261, ""growth_category"": ""Steady Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}","{""name"": ""Celo"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 35.305556571473666}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}",FALSE,TRUE,celo
Cosmos,Blockchains (L1),26.15789224,55,36.34943182,94.25,52.93933101,Steady Growth,Overvalued,AAA,"{""name"": ""Cosmos"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 55.0, ""growth_category"": ""Steady Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}","{""name"": ""Cosmos"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 26.157892238239448}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}",FALSE,FALSE,atom
Ethereum,Blockchains (L1),26.40262319,80.74585137,62.93269231,96.23,66.57779172,Exceptional Growth,Fairly Valued,AAA,"{""name"": ""Ethereum"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 80.74585137085137, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}","{""name"": ""Ethereum"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 26.402623193032213}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}",FALSE,TRUE,eth
Filecoin,Blockchains (L1),22.23684806,64.09090909,29.43181818,86.39,50.53739383,Steady Growth,Overvalued,A,"{""name"": ""Filecoin"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 64.0909090909091, ""growth_category"": ""Steady Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}","{""name"": ""Filecoin"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 22.236848055760632}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}",FALSE,FALSE,fil
Injective,Blockchains (L1),49.72054029,64.14820474,81.10576923,83.9,69.71862856,Steady Growth,Undervalued,A,"{""name"": ""Injective"", ""sector"": ""Blockchains (L1)"", ""scores"": {""user_growth"": 64.14820473644002, ""growth_category"": ""Steady Growth""}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""user_growth"": 57.27272727272727}}, {""name"": ""Aptos"", ""scores"": {""user_growth"": 74.57650162337663}}, {""name"": ""Avalanche"", ""scores"": {""user_growth"": 63.59943977591037}}, {""name"": ""BNB Chain"", ""scores"": {""user_growth"": 94.40882034632034}}], ""sector_averages"": {""user_growth"": 51.53, ""count"": 66}}","{""name"": ""Injective"", ""sector"": ""Blockchains (L1)"", ""scores"": {""earnings_quality"": 49.72054028597943}, ""peers"": [{""name"": ""Algorand"", ""scores"": {""earnings_quality"": 38.517054285532666}}, {""name"": ""Aptos"", ""scores"": {""earnings_quality"": 43.49478334281707}}, {""name"": ""Avalanche"", ""scores"": {""earnings_quality"": 39.96282983690581}}, {""name"": ""BNB Chain"", ""scores"": {""earnings_quality"": 48.5009231754041}}], ""sector_averages"": {""earnings_quality"": 10.76, ""count"": 69}}",FALSE,FALSE,inj
